10Xsolar:# For the net reaction NH3 + NH3 -> N2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   7.438E-89    N+NH3->N2H+H2       
300.0   1.585E-08   3.719E-89    N+NH3->N2H+H2       
300.0   2.512E-08   3.770E-89    NH2+NH2->N2H2+H2    
300.0   3.981E-08   2.377E-89    NH2+NH2->N2H2+H2    
300.0   6.310E-08   1.501E-89    NH2+NH2->N2H2+H2    
300.0   1.000E-07   9.497E-90    NH2+NH2->N2H2+H2    
300.0   1.585E-07   6.018E-90    NH2+NH2->N2H2+H2    
300.0   2.512E-07   3.782E-90    NH2+NH2->N2H2+H2    
300.0   3.981E-07   2.379E-90    NH2+NH2->N2H2+H2    
300.0   6.310E-07   1.500E-90    NH2+NH2->N2H2+H2    
300.0   1.000E-06   9.470E-91    NH2+NH2->N2H2+H2    
300.0   1.585E-06   5.990E-91    NH2+NH2->N2H2+H2    
300.0   2.512E-06   3.795E-91    NH2+NH2->N2H2+H2    
300.0   3.981E-06   2.388E-91    NH2+NH2->N2H2+H2    
300.0   6.310E-06   1.502E-91    NH2+NH2->N2H2+H2    
300.0   1.000E-05   9.469E-92    NH2+NH2->N2H2+H2    
300.0   1.585E-05   5.980E-92    NH2+NH2->N2H2+H2    
300.0   2.512E-05   3.782E-92    NH2+NH2->N2H2+H2    
300.0   3.981E-05   2.395E-92    NH2+NH2->N2H2+H2    
300.0   6.310E-05   1.510E-92    NH2+NH2->N2H2+H2    
300.0   1.000E-04   9.525E-93    NH2+NH2->N2H2+H2    
300.0   1.259E-04   7.570E-93    NH2+NH2->N2H2+H2    
300.0   1.585E-04   6.018E-93    NH2+NH2->N2H2+H2    
300.0   1.995E-04   4.785E-93    NH2+NH2->N2H2+H2    
300.0   2.512E-04   3.804E-93    NH2+NH2->N2H2+H2    
300.0   3.162E-04   3.023E-93    NH2+NH2->N2H2+H2    
300.0   3.981E-04   2.402E-93    NH2+NH2->N2H2+H2    
300.0   5.012E-04   1.908E-93    NH2+NH2->N2H2+H2    
300.0   6.310E-04   1.515E-93    NH2+NH2->N2H2+H2    
300.0   7.943E-04   1.203E-93    NH2+NH2->N2H2+H2    
300.0   1.000E-03   9.560E-94    NH2+NH2->N2H2+H2    
300.0   1.259E-03   7.599E-94    NH2+NH2->N2H2+H2    
300.0   1.585E-03   6.039E-94    NH2+NH2->N2H2+H2    
300.0   1.995E-03   4.799E-94    NH2+NH2->N2H2+H2    
300.0   2.512E-03   3.813E-94    NH2+NH2->N2H2+H2    
300.0   3.162E-03   3.029E-94    NH2+NH2->N2H2+H2    
300.0   3.981E-03   2.406E-94    NH2+NH2->N2H2+H2    
300.0   5.012E-03   1.911E-94    NH2+NH2->N2H2+H2    
300.0   6.310E-03   1.517E-94    NH2+NH2->N2H2+H2    
300.0   7.943E-03   1.204E-94    NH2+NH2->N2H2+H2    
300.0   1.000E-02   9.561E-95    NH2+NH2->N2H2+H2    
300.0   1.259E-02   7.588E-95    NH2+NH2->N2H2+H2    
300.0   1.585E-02   6.031E-95    NH2+NH2->N2H2+H2    
300.0   1.995E-02   4.794E-95    NH2+NH2->N2H2+H2    
300.0   2.512E-02   3.810E-95    NH2+NH2->N2H2+H2    
300.0   3.162E-02   3.028E-95    NH2+NH2->N2H2+H2    
300.0   3.981E-02   2.406E-95    NH2+NH2->N2H2+H2    
300.0   5.012E-02   1.911E-95    NH2+NH2->N2H2+H2    
300.0   6.310E-02   1.518E-95    NH2+NH2->N2H2+H2    
300.0   7.943E-02   1.206E-95    NH2+NH2->N2H2+H2    
300.0   1.000E-01   9.573E-96    NH2+NH2->N2H2+H2    
300.0   1.259E-01   7.601E-96    NH2+NH2->N2H2+H2    
300.0   1.585E-01   6.033E-96    NH2+NH2->N2H2+H2    
300.0   1.995E-01   4.789E-96    NH2+NH2->N2H2+H2    
300.0   2.512E-01   3.805E-96    NH2+NH2->N2H2+H2    
300.0   3.162E-01   3.024E-96    NH2+NH2->N2H2+H2    
300.0   3.981E-01   2.404E-96    NH2+NH2->N2H2+H2    
300.0   5.012E-01   1.910E-96    NH2+NH2->N2H2+H2    
300.0   6.310E-01   1.518E-96    NH2+NH2->N2H2+H2    
300.0   7.943E-01   1.206E-96    NH2+NH2->N2H2+H2    
300.0   1.000E+00   9.579E-97    NH2+NH2->N2H2+H2    
300.0   1.259E+00   7.607E-97    NH2+NH2->N2H2+H2    
300.0   1.585E+00   6.041E-97    NH2+NH2->N2H2+H2    
300.0   1.995E+00   4.796E-97    NH2+NH2->N2H2+H2    
300.0   2.512E+00   3.807E-97    NH2+NH2->N2H2+H2    
300.0   3.162E+00   3.022E-97    NH2+NH2->N2H2+H2    
300.0   3.981E+00   2.400E-97    NH2+NH2->N2H2+H2    
300.0   5.012E+00   1.908E-97    NH2+NH2->N2H2+H2    
300.0   6.310E+00   1.517E-97    NH2+NH2->N2H2+H2    
300.0   7.943E+00   1.205E-97    NH2+NH2->N2H2+H2    
300.0   1.000E+01   9.576E-98    NH2+NH2->N2H2+H2    
300.0   1.259E+01   7.608E-98    NH2+NH2->N2H2+H2    
300.0   1.585E+01   6.044E-98    NH2+NH2->N2H2+H2    
300.0   1.995E+01   4.800E-98    NH2+NH2->N2H2+H2    
300.0   2.512E+01   3.812E-98    NH2+NH2->N2H2+H2    
300.0   3.162E+01   3.027E-98    NH2+NH2->N2H2+H2    
300.0   3.981E+01   2.403E-98    NH2+NH2->N2H2+H2    
300.0   5.012E+01   1.907E-98    NH2+NH2->N2H2+H2    
300.0   6.310E+01   1.514E-98    NH2+NH2->N2H2+H2    
300.0   7.943E+01   5.653E-99    N2H2+H->N2H+H2      
300.0   1.000E+02   4.008E-99    N2H2+H->N2H+H2      
300.0   1.259E+02   2.842E-99    N2H2+H->N2H+H2      
300.0   1.585E+02   2.013E-99    N2H2+H->N2H+H2      
300.0   1.995E+02   1.426E-99    N2H2+H->N2H+H2      
300.0   2.512E+02   1.010E-99    N2H2+H->N2H+H2      
300.0   3.162E+02  7.149E-100    N2H2+H->N2H+H2      
300.0   3.981E+02  5.058E-100    N2H2+H->N2H+H2      
300.0   5.012E+02  3.577E-100    N2H2+H->N2H+H2      
300.0   6.310E+02  2.529E-100    N2H2+H->N2H+H2      
300.0   7.943E+02  1.787E-100    N2H2+H->N2H+H2      
300.0   1.000E+03  1.262E-100    N2H2+H->N2H+H2      
350.0   1.000E-08   6.133E-75    N+NH3->N2H+H2       
350.0   1.585E-08   3.066E-75    N+NH3->N2H+H2       
350.0   2.512E-08   1.535E-75    N+NH3->N2H+H2       
350.0   3.981E-08   7.690E-76    N+NH3->N2H+H2       
350.0   6.310E-08   3.856E-76    N+NH3->N2H+H2       
350.0   1.000E-07   1.936E-76    N+NH3->N2H+H2       
350.0   1.585E-07   9.722E-77    N+NH3->N2H+H2       
350.0   2.512E-07   4.863E-77    N+NH3->N2H+H2       
350.0   3.981E-07   2.434E-77    N+NH3->N2H+H2       
350.0   6.310E-07   1.220E-77    N+NH3->N2H+H2       
350.0   1.000E-06   6.117E-78    N+NH3->N2H+H2       
350.0   1.585E-06   3.070E-78    N+NH3->N2H+H2       
350.0   2.512E-06   3.833E-78    NH2+NH2->N2H2+H2    
350.0   3.981E-06   2.412E-78    NH2+NH2->N2H2+H2    
350.0   6.310E-06   1.517E-78    NH2+NH2->N2H2+H2    
350.0   1.000E-05   9.559E-79    NH2+NH2->N2H2+H2    
350.0   1.585E-05   6.035E-79    NH2+NH2->N2H2+H2    
350.0   2.512E-05   3.817E-79    NH2+NH2->N2H2+H2    
350.0   3.981E-05   2.418E-79    NH2+NH2->N2H2+H2    
350.0   6.310E-05   1.523E-79    NH2+NH2->N2H2+H2    
350.0   1.000E-04   9.577E-80    NH2+NH2->N2H2+H2    
350.0   1.259E-04   7.601E-80    NH2+NH2->N2H2+H2    
350.0   1.585E-04   6.036E-80    NH2+NH2->N2H2+H2    
350.0   1.995E-04   4.795E-80    NH2+NH2->N2H2+H2    
350.0   2.512E-04   3.811E-80    NH2+NH2->N2H2+H2    
350.0   3.162E-04   3.030E-80    NH2+NH2->N2H2+H2    
350.0   3.981E-04   2.410E-80    NH2+NH2->N2H2+H2    
350.0   5.012E-04   1.918E-80    NH2+NH2->N2H2+H2    
350.0   6.310E-04   1.526E-80    NH2+NH2->N2H2+H2    
350.0   7.943E-04   1.214E-80    NH2+NH2->N2H2+H2    
350.0   1.000E-03   9.630E-81    NH2+NH2->N2H2+H2    
350.0   1.259E-03   7.645E-81    NH2+NH2->N2H2+H2    
350.0   1.585E-03   6.074E-81    NH2+NH2->N2H2+H2    
350.0   1.995E-03   4.827E-81    NH2+NH2->N2H2+H2    
350.0   2.512E-03   3.838E-81    NH2+NH2->N2H2+H2    
350.0   3.162E-03   3.051E-81    NH2+NH2->N2H2+H2    
350.0   3.981E-03   2.425E-81    NH2+NH2->N2H2+H2    
350.0   5.012E-03   1.927E-81    NH2+NH2->N2H2+H2    
350.0   6.310E-03   1.531E-81    NH2+NH2->N2H2+H2    
350.0   7.943E-03   1.216E-81    NH2+NH2->N2H2+H2    
350.0   1.000E-02   9.657E-82    NH2+NH2->N2H2+H2    
350.0   1.259E-02   7.665E-82    NH2+NH2->N2H2+H2    
350.0   1.585E-02   6.092E-82    NH2+NH2->N2H2+H2    
350.0   1.995E-02   4.843E-82    NH2+NH2->N2H2+H2    
350.0   2.512E-02   3.849E-82    NH2+NH2->N2H2+H2    
350.0   3.162E-02   3.059E-82    NH2+NH2->N2H2+H2    
350.0   3.981E-02   2.430E-82    NH2+NH2->N2H2+H2    
350.0   5.012E-02   1.931E-82    NH2+NH2->N2H2+H2    
350.0   6.310E-02   1.534E-82    NH2+NH2->N2H2+H2    
350.0   7.943E-02   1.218E-82    NH2+NH2->N2H2+H2    
350.0   1.000E-01   9.671E-83    NH2+NH2->N2H2+H2    
350.0   1.259E-01   7.678E-83    NH2+NH2->N2H2+H2    
350.0   1.585E-01   6.095E-83    NH2+NH2->N2H2+H2    
350.0   1.995E-01   4.837E-83    NH2+NH2->N2H2+H2    
350.0   2.512E-01   3.843E-83    NH2+NH2->N2H2+H2    
350.0   3.162E-01   3.055E-83    NH2+NH2->N2H2+H2    
350.0   3.981E-01   2.428E-83    NH2+NH2->N2H2+H2    
350.0   5.012E-01   1.930E-83    NH2+NH2->N2H2+H2    
350.0   6.310E-01   1.533E-83    NH2+NH2->N2H2+H2    
350.0   7.943E-01   1.218E-83    NH2+NH2->N2H2+H2    
350.0   1.000E+00   9.676E-84    NH2+NH2->N2H2+H2    
350.0   1.259E+00   7.685E-84    NH2+NH2->N2H2+H2    
350.0   1.585E+00   6.102E-84    NH2+NH2->N2H2+H2    
350.0   1.995E+00   4.845E-84    NH2+NH2->N2H2+H2    
350.0   2.512E+00   3.846E-84    NH2+NH2->N2H2+H2    
350.0   3.162E+00   3.053E-84    NH2+NH2->N2H2+H2    
350.0   3.981E+00   2.425E-84    NH2+NH2->N2H2+H2    
350.0   5.012E+00   1.927E-84    NH2+NH2->N2H2+H2    
350.0   6.310E+00   1.532E-84    NH2+NH2->N2H2+H2    
350.0   7.943E+00   1.217E-84    NH2+NH2->N2H2+H2    
350.0   1.000E+01   9.674E-85    NH2+NH2->N2H2+H2    
350.0   1.259E+01   7.686E-85    NH2+NH2->N2H2+H2    
350.0   1.585E+01   6.105E-85    NH2+NH2->N2H2+H2    
350.0   1.995E+01   4.849E-85    NH2+NH2->N2H2+H2    
350.0   2.512E+01   3.851E-85    NH2+NH2->N2H2+H2    
350.0   3.162E+01   3.057E-85    NH2+NH2->N2H2+H2    
350.0   3.981E+01   2.427E-85    NH2+NH2->N2H2+H2    
350.0   5.012E+01   1.927E-85    NH2+NH2->N2H2+H2    
350.0   6.310E+01   1.530E-85    NH2+NH2->N2H2+H2    
350.0   7.943E+01   1.216E-85    NH2+NH2->N2H2+H2    
350.0   1.000E+02   9.665E-86    NH2+NH2->N2H2+H2    
350.0   1.259E+02   7.681E-86    NH2+NH2->N2H2+H2    
350.0   1.585E+02   2.825E-86    N2H2+H->N2H+H2      
350.0   1.995E+02   2.001E-86    N2H2+H->N2H+H2      
350.0   2.512E+02   1.417E-86    N2H2+H->N2H+H2      
350.0   3.162E+02   1.003E-86    N2H2+H->N2H+H2      
350.0   3.981E+02   7.096E-87    N2H2+H->N2H+H2      
350.0   5.012E+02   5.019E-87    N2H2+H->N2H+H2      
350.0   6.310E+02   3.548E-87    N2H2+H->N2H+H2      
350.0   7.943E+02   2.507E-87    N2H2+H->N2H+H2      
350.0   1.000E+03   1.771E-87    N2H2+H->N2H+H2      
400.0   1.000E-08   1.773E-64    N+NH3->N2H+H2       
400.0   1.585E-08   8.879E-65    N+NH3->N2H+H2       
400.0   2.512E-08   4.449E-65    N+NH3->N2H+H2       
400.0   3.981E-08   2.231E-65    N+NH3->N2H+H2       
400.0   6.310E-08   1.119E-65    N+NH3->N2H+H2       
400.0   1.000E-07   5.617E-66    N+NH3->N2H+H2       
400.0   1.585E-07   2.821E-66    N+NH3->N2H+H2       
400.0   2.512E-07   1.411E-66    N+NH3->N2H+H2       
400.0   3.981E-07   7.063E-67    N+NH3->N2H+H2       
400.0   6.310E-07   3.538E-67    N+NH3->N2H+H2       
400.0   1.000E-06   1.774E-67    N+NH3->N2H+H2       
400.0   1.585E-06   8.905E-68    N+NH3->N2H+H2       
400.0   2.512E-06   4.473E-68    N+NH3->N2H+H2       
400.0   3.981E-06   2.239E-68    N+NH3->N2H+H2       
400.0   6.310E-06   1.120E-68    N+NH3->N2H+H2       
400.0   1.000E-05   5.613E-69    N+NH3->N2H+H2       
400.0   1.585E-05   2.815E-69    N+NH3->N2H+H2       
400.0   2.512E-05   1.413E-69    N+NH3->N2H+H2       
400.0   3.981E-05   1.467E-69    NH2+NH2->N2H2+H2    
400.0   6.310E-05   9.241E-70    NH2+NH2->N2H2+H2    
400.0   1.000E-04   5.811E-70    NH2+NH2->N2H2+H2    
400.0   1.259E-04   4.611E-70    NH2+NH2->N2H2+H2    
400.0   1.585E-04   3.661E-70    NH2+NH2->N2H2+H2    
400.0   1.995E-04   2.908E-70    NH2+NH2->N2H2+H2    
400.0   2.512E-04   2.311E-70    NH2+NH2->N2H2+H2    
400.0   3.162E-04   1.837E-70    NH2+NH2->N2H2+H2    
400.0   3.981E-04   1.461E-70    NH2+NH2->N2H2+H2    
400.0   5.012E-04   1.163E-70    NH2+NH2->N2H2+H2    
400.0   6.310E-04   9.255E-71    NH2+NH2->N2H2+H2    
400.0   7.943E-04   7.365E-71    NH2+NH2->N2H2+H2    
400.0   1.000E-03   5.835E-71    NH2+NH2->N2H2+H2    
400.0   1.259E-03   4.626E-71    NH2+NH2->N2H2+H2    
400.0   1.585E-03   3.670E-71    NH2+NH2->N2H2+H2    
400.0   1.995E-03   2.913E-71    NH2+NH2->N2H2+H2    
400.0   2.512E-03   2.314E-71    NH2+NH2->N2H2+H2    
400.0   3.162E-03   1.838E-71    NH2+NH2->N2H2+H2    
400.0   3.981E-03   1.461E-71    NH2+NH2->N2H2+H2    
400.0   5.012E-03   1.162E-71    NH2+NH2->N2H2+H2    
400.0   6.310E-03   9.241E-72    NH2+NH2->N2H2+H2    
400.0   7.943E-03   7.351E-72    NH2+NH2->N2H2+H2    
400.0   1.000E-02   5.847E-72    NH2+NH2->N2H2+H2    
400.0   1.259E-02   4.650E-72    NH2+NH2->N2H2+H2    
400.0   1.585E-02   3.693E-72    NH2+NH2->N2H2+H2    
400.0   1.995E-02   2.934E-72    NH2+NH2->N2H2+H2    
400.0   2.512E-02   2.332E-72    NH2+NH2->N2H2+H2    
400.0   3.162E-02   1.854E-72    NH2+NH2->N2H2+H2    
400.0   3.981E-02   1.473E-72    NH2+NH2->N2H2+H2    
400.0   5.012E-02   1.171E-72    NH2+NH2->N2H2+H2    
400.0   6.310E-02   9.303E-73    NH2+NH2->N2H2+H2    
400.0   7.943E-02   7.390E-73    NH2+NH2->N2H2+H2    
400.0   1.000E-01   5.869E-73    NH2+NH2->N2H2+H2    
400.0   1.259E-01   4.660E-73    NH2+NH2->N2H2+H2    
400.0   1.585E-01   3.699E-73    NH2+NH2->N2H2+H2    
400.0   1.995E-01   2.936E-73    NH2+NH2->N2H2+H2    
400.0   2.512E-01   2.333E-73    NH2+NH2->N2H2+H2    
400.0   3.162E-01   1.854E-73    NH2+NH2->N2H2+H2    
400.0   3.981E-01   1.474E-73    NH2+NH2->N2H2+H2    
400.0   5.012E-01   1.171E-73    NH2+NH2->N2H2+H2    
400.0   6.310E-01   9.307E-74    NH2+NH2->N2H2+H2    
400.0   7.943E-01   7.394E-74    NH2+NH2->N2H2+H2    
400.0   1.000E+00   5.873E-74    NH2+NH2->N2H2+H2    
400.0   1.259E+00   4.665E-74    NH2+NH2->N2H2+H2    
400.0   1.585E+00   3.704E-74    NH2+NH2->N2H2+H2    
400.0   1.995E+00   2.941E-74    NH2+NH2->N2H2+H2    
400.0   2.512E+00   2.335E-74    NH2+NH2->N2H2+H2    
400.0   3.162E+00   1.853E-74    NH2+NH2->N2H2+H2    
400.0   3.981E+00   1.472E-74    NH2+NH2->N2H2+H2    
400.0   5.012E+00   1.170E-74    NH2+NH2->N2H2+H2    
400.0   6.310E+00   9.299E-75    NH2+NH2->N2H2+H2    
400.0   7.943E+00   7.390E-75    NH2+NH2->N2H2+H2    
400.0   1.000E+01   5.872E-75    NH2+NH2->N2H2+H2    
400.0   1.259E+01   4.665E-75    NH2+NH2->N2H2+H2    
400.0   1.585E+01   3.706E-75    NH2+NH2->N2H2+H2    
400.0   1.995E+01   2.943E-75    NH2+NH2->N2H2+H2    
400.0   2.512E+01   2.337E-75    NH2+NH2->N2H2+H2    
400.0   3.162E+01   1.856E-75    NH2+NH2->N2H2+H2    
400.0   3.981E+01   1.473E-75    NH2+NH2->N2H2+H2    
400.0   5.012E+01   1.169E-75    NH2+NH2->N2H2+H2    
400.0   6.310E+01   9.284E-76    NH2+NH2->N2H2+H2    
400.0   7.943E+01   7.381E-76    NH2+NH2->N2H2+H2    
400.0   1.000E+02   5.867E-76    NH2+NH2->N2H2+H2    
400.0   1.259E+02   4.662E-76    NH2+NH2->N2H2+H2    
400.0   1.585E+02   3.705E-76    NH2+NH2->N2H2+H2    
400.0   1.995E+02   2.943E-76    NH2+NH2->N2H2+H2    
400.0   2.512E+02   1.141E-76    N2H2+H->N2H+H2      
400.0   3.162E+02   8.077E-77    N2H2+H->N2H+H2      
400.0   3.981E+02   5.715E-77    N2H2+H->N2H+H2      
400.0   5.012E+02   4.042E-77    N2H2+H->N2H+H2      
400.0   6.310E+02   2.858E-77    N2H2+H->N2H+H2      
400.0   7.943E+02   2.020E-77    N2H2+H->N2H+H2      
400.0   1.000E+03   1.427E-77    N2H2+H->N2H+H2      
450.0   1.000E-08   2.519E-56    N+NH3->N2H+H2       
450.0   1.585E-08   1.260E-56    N+NH3->N2H+H2       
450.0   2.512E-08   6.312E-57    N+NH3->N2H+H2       
450.0   3.981E-08   3.167E-57    N+NH3->N2H+H2       
450.0   6.310E-08   1.591E-57    N+NH3->N2H+H2       
450.0   1.000E-07   8.000E-58    N+NH3->N2H+H2       
450.0   1.585E-07   4.026E-58    N+NH3->N2H+H2       
450.0   2.512E-07   2.018E-58    N+NH3->N2H+H2       
450.0   3.981E-07   1.011E-58    N+NH3->N2H+H2       
450.0   6.310E-07   5.070E-59    N+NH3->N2H+H2       
450.0   1.000E-06   2.543E-59    N+NH3->N2H+H2       
450.0   1.585E-06   1.277E-59    N+NH3->N2H+H2       
450.0   2.512E-06   6.412E-60    N+NH3->N2H+H2       
450.0   3.981E-06   3.209E-60    N+NH3->N2H+H2       
450.0   6.310E-06   1.606E-60    N+NH3->N2H+H2       
450.0   1.000E-05   8.045E-61    N+NH3->N2H+H2       
450.0   1.585E-05   4.034E-61    N+NH3->N2H+H2       
450.0   2.512E-05   2.025E-61    N+NH3->N2H+H2       
450.0   3.981E-05   1.017E-61    N+NH3->N2H+H2       
450.0   6.310E-05   5.093E-62    N+NH3->N2H+H2       
450.0   1.000E-04   2.549E-62    N+NH3->N2H+H2       
450.0   1.259E-04   1.804E-62    N+NH3->N2H+H2       
450.0   1.585E-04   1.277E-62    N+NH3->N2H+H2       
450.0   1.995E-04   9.045E-63    N+NH3->N2H+H2       
450.0   2.512E-04   6.407E-63    N+NH3->N2H+H2       
450.0   3.162E-04   4.539E-63    N+NH3->N2H+H2       
450.0   3.981E-04   3.217E-63    N+NH3->N2H+H2       
450.0   5.012E-04   4.970E-63    NH2+NH2->N2H2+H2    
450.0   6.310E-04   3.956E-63    NH2+NH2->N2H2+H2    
450.0   7.943E-04   3.148E-63    NH2+NH2->N2H2+H2    
450.0   1.000E-03   2.494E-63    NH2+NH2->N2H2+H2    
450.0   1.259E-03   1.977E-63    NH2+NH2->N2H2+H2    
450.0   1.585E-03   1.568E-63    NH2+NH2->N2H2+H2    
450.0   1.995E-03   1.244E-63    NH2+NH2->N2H2+H2    
450.0   2.512E-03   9.878E-64    NH2+NH2->N2H2+H2    
450.0   3.162E-03   7.846E-64    NH2+NH2->N2H2+H2    
450.0   3.981E-03   6.235E-64    NH2+NH2->N2H2+H2    
450.0   5.012E-03   4.956E-64    NH2+NH2->N2H2+H2    
450.0   6.310E-03   3.942E-64    NH2+NH2->N2H2+H2    
450.0   7.943E-03   3.136E-64    NH2+NH2->N2H2+H2    
450.0   1.000E-02   2.496E-64    NH2+NH2->N2H2+H2    
450.0   1.259E-02   1.987E-64    NH2+NH2->N2H2+H2    
450.0   1.585E-02   1.576E-64    NH2+NH2->N2H2+H2    
450.0   1.995E-02   1.250E-64    NH2+NH2->N2H2+H2    
450.0   2.512E-02   9.918E-65    NH2+NH2->N2H2+H2    
450.0   3.162E-02   7.877E-65    NH2+NH2->N2H2+H2    
450.0   3.981E-02   6.259E-65    NH2+NH2->N2H2+H2    
450.0   5.012E-02   4.975E-65    NH2+NH2->N2H2+H2    
450.0   6.310E-02   3.956E-65    NH2+NH2->N2H2+H2    
450.0   7.943E-02   3.146E-65    NH2+NH2->N2H2+H2    
450.0   1.000E-01   2.501E-65    NH2+NH2->N2H2+H2    
450.0   1.259E-01   1.988E-65    NH2+NH2->N2H2+H2    
450.0   1.585E-01   1.580E-65    NH2+NH2->N2H2+H2    
450.0   1.995E-01   1.255E-65    NH2+NH2->N2H2+H2    
450.0   2.512E-01   9.971E-66    NH2+NH2->N2H2+H2    
450.0   3.162E-01   7.925E-66    NH2+NH2->N2H2+H2    
450.0   3.981E-01   6.299E-66    NH2+NH2->N2H2+H2    
450.0   5.012E-01   5.006E-66    NH2+NH2->N2H2+H2    
450.0   6.310E-01   3.978E-66    NH2+NH2->N2H2+H2    
450.0   7.943E-01   3.160E-66    NH2+NH2->N2H2+H2    
450.0   1.000E+00   2.510E-66    NH2+NH2->N2H2+H2    
450.0   1.259E+00   1.994E-66    NH2+NH2->N2H2+H2    
450.0   1.585E+00   1.583E-66    NH2+NH2->N2H2+H2    
450.0   1.995E+00   1.257E-66    NH2+NH2->N2H2+H2    
450.0   2.512E+00   9.980E-67    NH2+NH2->N2H2+H2    
450.0   3.162E+00   7.921E-67    NH2+NH2->N2H2+H2    
450.0   3.981E+00   6.291E-67    NH2+NH2->N2H2+H2    
450.0   5.012E+00   5.001E-67    NH2+NH2->N2H2+H2    
450.0   6.310E+00   3.975E-67    NH2+NH2->N2H2+H2    
450.0   7.943E+00   3.159E-67    NH2+NH2->N2H2+H2    
450.0   1.000E+01   2.510E-67    NH2+NH2->N2H2+H2    
450.0   1.259E+01   1.994E-67    NH2+NH2->N2H2+H2    
450.0   1.585E+01   1.584E-67    NH2+NH2->N2H2+H2    
450.0   1.995E+01   1.258E-67    NH2+NH2->N2H2+H2    
450.0   2.512E+01   9.991E-68    NH2+NH2->N2H2+H2    
450.0   3.162E+01   7.933E-68    NH2+NH2->N2H2+H2    
450.0   3.981E+01   6.298E-68    NH2+NH2->N2H2+H2    
450.0   5.012E+01   4.999E-68    NH2+NH2->N2H2+H2    
450.0   6.310E+01   3.969E-68    NH2+NH2->N2H2+H2    
450.0   7.943E+01   3.155E-68    NH2+NH2->N2H2+H2    
450.0   1.000E+02   2.508E-68    NH2+NH2->N2H2+H2    
450.0   1.259E+02   1.993E-68    NH2+NH2->N2H2+H2    
450.0   1.585E+02   1.584E-68    NH2+NH2->N2H2+H2    
450.0   1.995E+02   1.258E-68    NH2+NH2->N2H2+H2    
450.0   2.512E+02   9.995E-69    NH2+NH2->N2H2+H2    
450.0   3.162E+02   7.939E-69    NH2+NH2->N2H2+H2    
450.0   3.981E+02   3.137E-69    N2H2+H->N2H+H2      
450.0   5.012E+02   2.219E-69    N2H2+H->N2H+H2      
450.0   6.310E+02   1.569E-69    N2H2+H->N2H+H2      
450.0   7.943E+02   1.109E-69    N2H2+H->N2H+H2      
450.0   1.000E+03   7.831E-70    N2H2+H->N2H+H2      
500.0   1.000E-08   8.724E-50    N+NH3->N2H+H2       
500.0   1.585E-08   4.361E-50    N+NH3->N2H+H2       
500.0   2.512E-08   2.183E-50    N+NH3->N2H+H2       
500.0   3.981E-08   1.094E-50    N+NH3->N2H+H2       
500.0   6.310E-08   5.485E-51    N+NH3->N2H+H2       
500.0   1.000E-07   2.753E-51    N+NH3->N2H+H2       
500.0   1.585E-07   1.383E-51    N+NH3->N2H+H2       
500.0   2.512E-07   6.923E-52    N+NH3->N2H+H2       
500.0   3.981E-07   3.468E-52    N+NH3->N2H+H2       
500.0   6.310E-07   1.740E-52    N+NH3->N2H+H2       
500.0   1.000E-06   8.742E-53    N+NH3->N2H+H2       
500.0   1.585E-06   4.396E-53    N+NH3->N2H+H2       
500.0   2.512E-06   2.212E-53    N+NH3->N2H+H2       
500.0   3.981E-06   1.109E-53    N+NH3->N2H+H2       
500.0   6.310E-06   5.555E-54    N+NH3->N2H+H2       
500.0   1.000E-05   2.784E-54    N+NH3->N2H+H2       
500.0   1.585E-05   1.396E-54    N+NH3->N2H+H2       
500.0   2.512E-05   7.008E-55    N+NH3->N2H+H2       
500.0   3.981E-05   3.520E-55    N+NH3->N2H+H2       
500.0   6.310E-05   1.763E-55    N+NH3->N2H+H2       
500.0   1.000E-04   8.820E-56    N+NH3->N2H+H2       
500.0   1.259E-04   6.242E-56    N+NH3->N2H+H2       
500.0   1.585E-04   4.418E-56    N+NH3->N2H+H2       
500.0   1.995E-04   3.129E-56    N+NH3->N2H+H2       
500.0   2.512E-04   2.216E-56    N+NH3->N2H+H2       
500.0   3.162E-04   1.570E-56    N+NH3->N2H+H2       
500.0   3.981E-04   1.112E-56    N+NH3->N2H+H2       
500.0   5.012E-04   7.882E-57    N+NH3->N2H+H2       
500.0   6.310E-04   5.587E-57    N+NH3->N2H+H2       
500.0   7.943E-04   3.960E-57    N+NH3->N2H+H2       
500.0   1.000E-03   2.800E-57    N+NH3->N2H+H2       
500.0   1.259E-03   1.981E-57    N+NH3->N2H+H2       
500.0   1.585E-03   1.402E-57    N+NH3->N2H+H2       
500.0   1.995E-03   9.925E-58    N+NH3->N2H+H2       
500.0   2.512E-03   7.028E-58    N+NH3->N2H+H2       
500.0   3.162E-03   1.036E-57    NH2+NH2->N2H2+H2    
500.0   3.981E-03   8.233E-58    NH2+NH2->N2H2+H2    
500.0   5.012E-03   6.545E-58    NH2+NH2->N2H2+H2    
500.0   6.310E-03   5.205E-58    NH2+NH2->N2H2+H2    
500.0   7.943E-03   4.141E-58    NH2+NH2->N2H2+H2    
500.0   1.000E-02   3.295E-58    NH2+NH2->N2H2+H2    
500.0   1.259E-02   2.624E-58    NH2+NH2->N2H2+H2    
500.0   1.585E-02   2.080E-58    NH2+NH2->N2H2+H2    
500.0   1.995E-02   1.649E-58    NH2+NH2->N2H2+H2    
